Name,City,DOB (D/M/Y),TOB (H/M/S),Longitude,Latitude,Timezone
Preetam Dhaam,Delhi,16/01/2021,15:02:51,78.1,27.11,5.5
HIMANSHU Kumar,Delhi,02/07/2017,21:54:40,78.1,27.11,5.5
Acharya Salil,Delhi,21/02/2020,00:15:45,78.1,27.11,5.5
xyzrecord,Delhi,12/01/2023,17:45:20,78.1,27.11,5.5
Rick Astley,London,01/02/2015,16:32:30,-0.12,51.5,0
BillieEilishVEVO,New York,16/08/2016,13:22:39,74,40.42,-5
Republic World,Delhi,04/01/2017,23:38:48,78.1,27.11,5.5
Dhruv Rathee Vlogs,Berlin,14/07/2020,15:52:57,8.23,49,1
Zem TV,Karachi,20/06/2018,16:21:46,67.4,24.54,5
Lakshay Chaudhary,Delhi,30/04/2014,07:07:56,78.1,27.11,5.5
Maithili Thakur,Delhi,11/01/2014,14:44:55,78.1,27.11,5.5
Kunal Kamra,Delhi,02/03/2017,06:13:26,78.1,27.11,5.5
Jaspreet Singh,Delhi,08/11/2011,01:34:12,78.1,27.11,5.5
Ed Sheeran,London,08/08/2006,14:59:50,-0.12,27.11,0
Sahil joshi Vlogs,Delhi,05/11/2020,14:40:20,78.1,27.11,5.5
Bhavesh,Delhi,20/07/2008,04:55:03,78.1,27.11,5.5
Acharya Prashant,Delhi,06/07/2011,04:01:20,78.1,27.11,5.5
Sandeep Maheshwari,Delhi,13/02/2012,13:35:01,78.1,27.11,5.5
Prakash Tarot card reader,Delhi,19/07/2012,15:32:13,78.1,27.11,5.5
The UK07 Rider,Delhi,07/07/2015,23:47:29,78.1,27.11,5.5
Aam Aadmi Party,Delhi,25/01/2011,11:48:51,78.1,27.11,5.5
Abhinav Arora Official,Delhi,28/02/2021,03:16:53,78.1,27.11,5.5
Experiment King,Delhi,23/04/2015,11:16:06,78.1,27.11,5.5
The Comedy Factory,Delhi,10/10/2011,11:42:56,78.1,27.11,5.5
Shri Ram Janmbhoomi Teerth Kshetra,Delhi,20/06/2020,08:07:48,78.1,27.11,5.5
OSHO International,Luimneach,11/08/2006,22:14:10,8.37,52.39,1
TVTS Hindi,Delhi,20/12/2011,18:52:52,78.1,27.11,5.5
BCS,Delhi,05/11/2017,18:18:37,78.1,27.11,5.5
Mamu Banavyo - Gujarati Pranks,Delhi,27/12/2011,14:46:27,78.1,27.11,5.5
Lo-Fi__Music,Delhi,19/02/2024,09:11:44,78.1,27.11,5.5
Wily Frenzy,Delhi,30/11/2017,16:27:00,78.1,27.11,5.5
Gyaani 2.0,Delhi,13/09/2016,00:26:49,78.1,27.11,5.5
PRAK - GAMING,Delhi,11/06/2024,09:52:26,78.1,27.11,5.5
Khajur Bhai,Delhi,11/05/2018,08:50:48,78.1,27.11,5.5
Nitish Rajput,Delhi,29/04/2020,22:48:25,78.1,27.11,5.5
Saiman Says,Delhi,18/08/2010,22:53:05,78.1,27.11,5.5
Manoj Dey,Delhi,24/11/2016,20:18:33,78.1,27.11,5.5
Allen Choudhary,Delhi,20/06/2012,08:42:00,78.1,27.11,5.5
SOFIA ANSARI,Delhi,02/06/2013,22:43:20,78.1,27.11,5.5
Rhea Chakraborty,Delhi,21/05/2024,14:58:59,78.1,27.11,5.5
Yashraj Mukhate,Delhi,20/02/2010,15:55:36,78.1,27.11,5.5
Neon Man,Delhi,18/04/2017,02:44:35,78.1,27.11,5.5
RihannaVEVO,New York,12/05/2009,01:29:11,74,40.42,-5
Rihanna,New York,06/11/2005,11:14:28,74,40.42,-5
Nalin yadav,Delhi,16/04/2015,02:00:30,78.1,27.11,5.5
Zakir Khan,Delhi,05/06/2011,14:52:05,78.1,27.11,5.5
Mumma Yaarr,Delhi,27/04/2023,19:58:04,78.1,27.11,5.5
khangsresearchcentre1685,Delhi,15/04/2023,20:19:35,78.1,27.11,5.5
Khan GS Research Centre,Delhi,25/04/2019,14:12:42,78.1,27.11,5.5
RJ Naved,Delhi,28/12/2020,16:47:22,78.1,27.11,5.5
Tanishka Bhatt - Your Commerce Educator,Delhi,16/03/2026,19:19:59,78.1,27.11,5.5
Tanishka Bhatt,Delhi,22/03/2026,20:27:30,78.1,27.11,5.5
DHRUV RATHEE,Karlsruhe,07/01/2013,20:08:00,8.23,49,1
Prakashhh,Rajkot,21/11/2020,5:29:56,70.46,22.17,5.5
